sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	0.260000	0.610000	0.620000	0.000000	0.000000	0.000000	30026	30061	30062	0	0	0
2	0.173910	0.173910	0.260000	0.610000	0.620000	-0.028000	0.022000	0.000000	30026	30061	30062	24986	25011	25000
3	0.173981	0.000071	-0.030000	0.090000	0.960000	-0.028000	0.022000	0.000000	29997	30009	30096	24986	25011	25000
4	0.209166	0.035186	-0.030000	0.090000	0.960000	0.014000	-0.016000	0.006000	29997	30009	30096	25007	24992	25003
5	0.209257	0.000090	0.220000	0.210000	0.950000	0.014000	-0.016000	0.006000	30022	30021	30095	25007	24992	25003
6	0.237534	0.028277	0.220000	0.210000	0.950000	-0.004000	-0.002000	0.000000	30022	30021	30095	24998	24999	25000
7	0.237617	0.000083	0.350000	0.370000	0.970000	-0.004000	-0.002000	0.000000	30035	30037	30097	24998	24999	25000
8	0.268648	0.031031	0.350000	0.370000	0.970000	-0.008000	0.022000	0.008000	30035	30037	30097	24996	25011	25004
9	0.269213	0.000565	0.670000	0.170000	0.980000	-0.008000	0.022000	0.008000	30067	30017	30098	24996	25011	25004
10	0.301010	0.031797	0.670000	0.170000	0.980000	-0.008000	0.034000	0.022000	30067	30017	30098	24996	25017	25011
11	0.301097	0.000087	-0.300000	-0.310000	1.010000	-0.008000	0.034000	0.022000	29970	29969	30101	24996	25017	25011
12	0.332922	0.031825	-0.300000	-0.310000	1.010000	0.068000	-0.024000	0.040000	29970	29969	30101	25034	24988	25020
13	0.332990	0.000068	-0.550000	-0.670000	0.970000	0.068000	-0.024000	0.040000	29945	29933	30097	25034	24988	25020
14	0.364227	0.031236	-0.550000	-0.670000	0.970000	0.078000	-0.062000	0.030000	29945	29933	30097	25039	24969	25015
15	0.364335	0.000108	-0.780000	-0.420000	1.750000	0.078000	-0.062000	0.030000	29922	29958	30175	25039	24969	25015
16	0.397145	0.032810	-0.780000	-0.420000	1.750000	0.070000	-0.064000	0.012000	29922	29958	30175	25035	24968	25006
17	0.397237	0.000092	0.060000	-0.010000	1.720000	0.070000	-0.064000	0.012000	30006	29999	30172	25035	24968	25006
18	0.422815	0.025579	0.060000	-0.010000	1.720000	0.004000	-0.016000	-0.002000	30006	29999	30172	25002	24992	24999
19	0.422895	0.000080	0.230000	0.320000	1.760000	0.004000	-0.016000	-0.002000	30023	30032	30176	25002	24992	24999
20	0.447625	0.024730	0.230000	0.320000	1.760000	-0.004000	0.006000	0.000000	30023	30032	30176	24998	25003	25000
21	0.447722	0.000097	0.340000	1.000000	0.900000	-0.004000	0.006000	0.000000	30034	30100	30090	24998	25003	25000
22	0.475913	0.028192	0.340000	1.000000	0.900000	-0.050000	0.026000	-0.006000	30034	30100	30090	24975	25013	24997
23	0.476014	0.000100	0.460000	1.080000	0.900000	-0.050000	0.026000	-0.006000	30046	30108	30090	24975	25013	24997
24	0.510256	0.034242	0.460000	1.080000	0.900000	-0.064000	0.030000	-0.002000	30046	30108	30090	24968	25015	24999
25	0.510337	0.000081	0.510000	1.180000	0.920000	-0.064000	0.030000	-0.002000	30051	30118	30092	24968	25015	24999
26	0.540828	0.030491	0.510000	1.180000	0.920000	-0.066000	0.034000	-0.002000	30051	30118	30092	24967	25017	24999
27	0.540906	0.000078	0.310000	0.650000	0.440000	-0.066000	0.034000	-0.002000	30031	30065	30044	24967	25017	24999
28	0.567576	0.026670	0.310000	0.650000	0.440000	-0.028000	0.004000	0.006000	30031	30065	30044	24986	25002	25003
29	0.567639	0.000063	-0.410000	0.730000	0.480000	-0.028000	0.004000	0.006000	29959	30073	30048	24986	25002	25003
30	0.595107	0.027469	-0.410000	0.730000	0.480000	-0.022000	-0.048000	0.000000	29959	30073	30048	24989	24976	25000
31	0.595174	0.000067	-0.550000	0.790000	0.470000	-0.022000	-0.048000	0.000000	29945	30079	30047	24989	24976	25000
32	0.627718	0.032543	-0.550000	0.790000	0.470000	-0.036000	-0.058000	0.004000	29945	30079	30047	24982	24971	25002
33	0.627917	0.000200	-0.460000	0.970000	0.440000	-0.036000	-0.058000	0.004000	29954	30097	30044	24982	24971	25002
34	0.657282	0.029364	-0.460000	0.970000	0.440000	-0.050000	-0.044000	0.002000	29954	30097	30044	24975	24978	25001
35	0.657355	0.000073	0.160000	0.670000	0.400000	-0.050000	-0.044000	0.002000	30016	30067	30040	24975	24978	25001
36	0.686676	0.029321	0.160000	0.670000	0.400000	-0.036000	0.008000	0.008000	30016	30067	30040	24982	25004	25004
37	0.686757	0.000081	0.250000	0.460000	0.400000	-0.036000	0.008000	0.008000	30025	30046	30040	24982	25004	25004
38	0.719585	0.032829	0.250000	0.460000	0.400000	-0.014000	0.010000	0.002000	30025	30046	30040	24993	25005	25001
39	0.719709	0.000123	0.290000	0.540000	0.110000	-0.014000	0.010000	0.002000	30029	30054	30011	24993	25005	25001
40	0.747480	0.027771	0.290000	0.540000	0.110000	-0.018000	0.018000	0.000000	30029	30054	30011	24991	25009	25000
41	0.747535	0.000056	0.390000	0.240000	0.090000	-0.018000	0.018000	0.000000	30039	30024	30009	24991	25009	25000
42	0.776220	0.028685	0.390000	0.240000	0.090000	0.008000	0.040000	-0.008000	30039	30024	30009	25004	25020	24996
43	0.776286	0.000066	0.390000	0.240000	0.090000	0.008000	0.040000	-0.008000	30039	30024	30009	25004	25020	24996
44	0.812178	0.035892	0.390000	0.240000	0.090000	0.008000	0.040000	-0.008000	30039	30024	30009	25004	25020	24996
45	0.812254	0.000076	0.410000	0.200000	0.920000	0.008000	0.040000	-0.008000	30041	30020	30092	25004	25020	24996
46	0.847309	0.035055	0.410000	0.200000	0.920000	0.012000	0.038000	-0.006000	30041	30020	30092	25006	25019	24997
47	0.847462	0.000153	0.330000	0.400000	0.950000	0.012000	0.038000	-0.006000	30033	30040	30095	25006	25019	24997
48	0.879805	0.032343	0.330000	0.400000	0.950000	-0.016000	0.024000	-0.004000	30033	30040	30095	24992	25012	24998
49	0.879896	0.000091	0.180000	0.460000	0.940000	-0.016000	0.024000	-0.004000	30018	30046	30094	24992	25012	24998
50	0.910610	0.030714	0.180000	0.460000	0.940000	-0.030000	0.014000	-0.002000	30018	30046	30094	24985	25007	24999
51	0.910739	0.000129	0.220000	0.550000	1.490000	-0.030000	0.014000	-0.002000	30022	30055	30149	24985	25007	24999
52	0.944253	0.033514	0.220000	0.550000	1.490000	-0.036000	0.018000	0.000000	30022	30055	30149	24982	25009	25000
53	0.944338	0.000085	0.170000	0.270000	1.500000	-0.036000	0.018000	0.000000	30017	30027	30150	24982	25009	25000
54	0.973957	0.029619	0.170000	0.270000	1.500000	-0.006000	0.004000	0.000000	30017	30027	30150	24997	25002	25000
55	0.974020	0.000063	0.310000	0.220000	1.510000	-0.006000	0.004000	0.000000	30031	30022	30151	24997	25002	25000
56	1.003420	0.029400	0.310000	0.220000	1.510000	0.008000	0.014000	-0.004000	30031	30022	30151	25004	25007	24998
57	1.003511	0.000092	0.320000	0.190000	1.240000	0.008000	0.014000	-0.004000	30032	30019	30124	25004	25007	24998
58	1.041851	0.038340	0.320000	0.190000	1.240000	0.012000	0.018000	-0.002000	30032	30019	30124	25006	25009	24999
59	1.041979	0.000127	0.220000	0.340000	1.240000	0.012000	0.018000	-0.002000	30022	30034	30124	25006	25009	24999
60	1.076440	0.034461	0.220000	0.340000	1.240000	0.000000	0.008000	0.006000	30022	30034	30124	25000	25004	25003
61	1.076569	0.000129	0.120000	0.370000	1.240000	0.000000	0.008000	0.006000	30012	30037	30124	25000	25004	25003
62	1.116489	0.039921	0.120000	0.370000	1.240000	-0.010000	0.002000	0.008000	30012	30037	30124	24995	25001	25004
63	1.116572	0.000083	0.070000	0.090000	1.210000	-0.010000	0.002000	0.008000	30007	30009	30121	24995	25001	25004
64	1.156594	0.040022	0.070000	0.090000	1.210000	0.004000	-0.008000	0.004000	30007	30009	30121	25002	24996	25002
65	1.156726	0.000132	0.070000	0.340000	1.200000	0.004000	-0.008000	0.004000	30007	30034	30120	25002	24996	25002
66	1.188951	0.032225	0.070000	0.340000	1.200000	-0.020000	0.000000	-0.008000	30007	30034	30120	24990	25000	24996
67	1.189052	0.000101	0.170000	0.310000	1.210000	-0.020000	0.000000	-0.008000	30017	30031	30121	24990	25000	24996
68	1.222114	0.033062	0.170000	0.310000	1.210000	-0.010000	0.006000	-0.010000	30017	30031	30121	24995	25003	24995
69	1.222245	0.000131	0.140000	0.230000	1.200000	-0.010000	0.006000	-0.010000	30014	30023	30120	24995	25003	24995
70	1.252818	0.030573	0.140000	0.230000	1.200000	-0.008000	0.002000	-0.010000	30014	30023	30120	24996	25001	24995
71	1.252901	0.000083	-0.120000	-0.370000	1.220000	-0.008000	0.002000	-0.010000	29988	29963	30122	24996	25001	24995
72	1.285585	0.032684	-0.120000	-0.370000	1.220000	0.062000	-0.020000	0.004000	29988	29963	30122	25031	24990	25002
73	1.285688	0.000103	0.060000	-0.440000	1.230000	0.062000	-0.020000	0.004000	30006	29956	30123	25031	24990	25002
74	1.329204	0.043516	0.060000	-0.440000	1.230000	0.084000	-0.006000	0.000000	30006	29956	30123	25042	24997	25000
75	1.329328	0.000124	0.020000	-0.160000	0.450000	0.084000	-0.006000	0.000000	30002	29984	30045	25042	24997	25000
76	1.368296	0.038968	0.020000	-0.160000	0.450000	0.068000	-0.008000	0.002000	30002	29984	30045	25034	24996	25001
77	1.368448	0.000152	0.020000	-0.140000	0.460000	0.068000	-0.008000	0.002000	30002	29986	30046	25034	24996	25001
78	1.415982	0.047534	0.020000	-0.140000	0.460000	0.058000	-0.010000	0.002000	30002	29986	30046	25029	24995	25001
79	1.416110	0.000128	0.020000	-0.140000	0.460000	0.058000	-0.010000	0.002000	30002	29986	30046	25029	24995	25001
80	1.450187	0.034078	0.020000	-0.140000	0.460000	0.058000	-0.010000	0.002000	30002	29986	30046	25029	24995	25001
81	1.450284	0.000096	-0.180000	-0.420000	1.490000	0.058000	-0.010000	0.002000	29982	29958	30149	25029	24995	25001
82	1.478882	0.028598	-0.180000	-0.420000	1.490000	0.050000	-0.026000	0.004000	29982	29958	30149	25025	24987	25002
83	1.478954	0.000073	-0.220000	0.200000	1.430000	0.050000	-0.026000	0.004000	29978	30020	30143	25025	24987	25002
84	1.509041	0.030086	-0.220000	0.200000	1.430000	0.010000	-0.014000	-0.016000	29978	30020	30143	25005	24993	24992
85	1.509131	0.000090	-0.220000	0.200000	1.430000	0.010000	-0.014000	-0.016000	29978	30020	30143	25005	24993	24992
86	1.535500	0.026369	-0.220000	0.200000	1.430000	0.010000	-0.014000	-0.016000	29978	30020	30143	25005	24993	24992
87	1.535623	0.000123	-0.170000	0.300000	1.440000	0.010000	-0.014000	-0.016000	29983	30030	30144	25005	24993	24992
88	1.561631	0.026007	-0.170000	0.300000	1.440000	0.008000	-0.010000	-0.016000	29983	30030	30144	25004	24995	24992
89	1.561696	0.000066	0.080000	0.090000	1.190000	0.008000	-0.010000	-0.016000	30008	30009	30119	25004	24995	24992
90	1.589100	0.027403	0.080000	0.090000	1.190000	0.016000	-0.006000	-0.012000	30008	30009	30119	25008	24997	24994
91	1.589184	0.000084	0.080000	0.090000	1.190000	0.016000	-0.006000	-0.012000	30008	30009	30119	25008	24997	24994
92	1.617518	0.028334	0.080000	0.090000	1.190000	0.016000	-0.006000	-0.012000	30008	30009	30119	25008	24997	24994
93	1.617593	0.000076	-0.010000	0.250000	1.190000	0.016000	-0.006000	-0.012000	29999	30025	30119	25008	24997	24994
94	1.642670	0.025076	-0.010000	0.250000	1.190000	-0.002000	-0.012000	-0.008000	29999	30025	30119	24999	24994	24996
95	1.642733	0.000063	-0.160000	-0.130000	0.980000	-0.002000	-0.012000	-0.008000	29984	29987	30098	24999	24994	24996
96	1.667815	0.025082	-0.160000	-0.130000	0.980000	0.028000	-0.038000	0.006000	29984	29987	30098	25014	24981	25003
97	1.667897	0.000083	-0.160000	-0.130000	0.980000	0.028000	-0.038000	0.006000	29984	29987	30098	25014	24981	25003
98	1.692391	0.024494	-0.160000	-0.130000	0.980000	0.028000	-0.038000	0.006000	29984	29987	30098	25014	24981	25003
99	1.692478	0.000087	-0.070000	-0.330000	0.970000	0.028000	-0.038000	0.006000	29993	29967	30097	25014	24981	25003
100	1.717749	0.025272	-0.070000	-0.330000	0.970000	0.054000	-0.038000	-0.002000	29993	29967	30097	25027	24981	24999
101	1.717840	0.000091	0.210000	0.180000	0.900000	0.054000	-0.038000	-0.002000	30021	30018	30090	25027	24981	24999
102	1.744469	0.026629	0.210000	0.180000	0.900000	0.010000	0.006000	-0.012000	30021	30018	30090	25005	25003	24994
103	1.744585	0.000116	0.210000	0.180000	0.900000	0.010000	0.006000	-0.012000	30021	30018	30090	25005	25003	24994
104	1.774659	0.030074	0.210000	0.180000	0.900000	0.010000	0.006000	-0.012000	30021	30018	30090	25005	25003	24994
105	1.774745	0.000086	0.220000	0.480000	0.910000	0.010000	0.006000	-0.012000	30022	30048	30091	25005	25003	24994
106	1.801162	0.026418	0.220000	0.480000	0.910000	-0.014000	0.022000	0.000000	30022	30048	30091	24993	25011	25000
107	1.801238	0.000076	-0.160000	0.200000	0.710000	-0.014000	0.022000	0.000000	29984	30020	30071	24993	25011	25000
108	1.832090	0.030852	-0.160000	0.200000	0.710000	0.004000	-0.018000	0.012000	29984	30020	30071	25002	24991	25006
109	1.832174	0.000083	-0.160000	0.200000	0.710000	0.004000	-0.018000	0.012000	29984	30020	30071	25002	24991	25006
110	1.864351	0.032177	-0.160000	0.200000	0.710000	0.004000	-0.018000	0.012000	29984	30020	30071	25002	24991	25006
111	1.864447	0.000096	-0.270000	0.280000	0.700000	0.004000	-0.018000	0.012000	29973	30028	30070	25002	24991	25006
112	1.897949	0.033502	-0.270000	0.280000	0.700000	-0.008000	-0.030000	0.014000	29973	30028	30070	24996	24985	25007
113	1.898016	0.000067	0.140000	0.400000	0.400000	-0.008000	-0.030000	0.014000	30014	30040	30040	24996	24985	25007
114	1.927737	0.029721	0.140000	0.400000	0.400000	-0.022000	-0.002000	0.008000	30014	30040	30040	24989	24999	25004
115	1.927825	0.000087	0.140000	0.400000	0.400000	-0.022000	-0.002000	0.008000	30014	30040	30040	24989	24999	25004
